"household.id","sex.ref.person","income.class","region","race.ref.person","family.type","income.rank","population.size","home.type","food","housing","apparel","transportation","healthcare","entertainment","education"
2227674,"female","$20K-$29,999","Midwest","white","single person",0.2538,"4 million+","row or townhouse inner unit",715,1170,70,0,700.2,165,0
2227914,"female","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.9331,"4 million+","single family detached",2856,6457,836,1761,2253,1110,20
2228025,"female","$50K-$69,999","South","white","H/W, own children only, oldest child 6-17 years old",0.6568,"125-329 thousand","single family detached",1365,2165,112,1736,750,325,0
2228115,"male","$70K+","Northeast","white","H/W, own children only, oldest child over 17 years old",0.8716,"4 million+","single family detached",3200,5343,1670,3026,690,1076,3200
2228274,"female","$15K-$19,999","West","white","other household",0.1932,"125-329 thousand","apartment or flat",715,2752,0,568,798.4,455,0
2228385,"male","$5K-$9,999","West","white","other household",NA,"4 million+","single family detached",1148,396.75,0,0,0,0,0
2228494,"male","$15K-$19,999","Midwest","white","single person",NA,"125-329 thousand","single family detached",1241,1170,57,0,0,0,0
2228735,"male","$40K-$49,999","South","white","other household",0.4783,"125-329 thousand","apartment or flat",1950,2607,104,1312,54,0,0
2228775,"female","$50K-$69,999","Northeast","white","single person",0.5534,"4 million+","apartment or flat",845,952,27,0,289.2,201,0
2228915,"female","$20K-$29,999","Northeast","asian","one parent, female, at least one child under 18 years old",0.3061,"4 million+","row or townhouse inner unit",1560,2275,270,1188,678.4,262,2040
2229075,"female","$30K-$39,999","Northeast","black","other household",NA,"4 million+","apartment or flat",2207,2564,400,900,0,0,0
2229094,"male","$5K-$9,999","South","white","single person",0.0577,"4 million+","3-plex or 4-plex",1040,1974,350,330,490,0,0
2229365,"female","$40K-$49,999","Midwest","white","Husband and wife only",0.5197,"less than 125 thousand","single family detached",1066,2748,16,1057,1155,650,130
2229544,"female","$50K-$69,999","Midwest","black","other household",NA,"4 million+","apartment or flat",910,2340,12,0,0,222,0
2229545,"female","$70K+","Midwest","black","other household",NA,"4 million+","apartment or flat",2467,2945,0,475,0,225,0
2229724,"female","$10K-$14,999","South","black","one parent, female, at least one child under 18 years old",0.0926,"less than 125 thousand","duplex",1196,1084,278,304,0,199,0
2229925,"male","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.7515,"1.2-4 million","single family detached",3404,3142.5,681,2901,1245,936,0
2229934,"female","$50K-$69,999","South","white","H/W, own children only, oldest child 6-17 years old",0.0675,"less than 125 thousand","single family detached",2860,1908,30,1020,0,465,0
2230255,"female","$70K+","West","asian","Husband and wife only",0.7934,"4 million+","high-rise",845,4290,395,1750,100,324,0
2230365,"male","$70K+","Midwest","white","Husband and wife only",0.9816,"4 million+","high-rise",2710,5787,180,2821,410,755,0
2230435,"female","$10K-$14,999","Northeast","white","single person",0.137,"1.2-4 million","apartment or flat",1040,1074,313,752,546.2,105,0
2230675,"female","$20K-$29,999","Midwest","white","Husband and wife only",0.3215,"125-329 thousand","single family detached",1625,3255,342,943,1080.4,285,0
2230825,"male","$20K-$29,999","South","white","single person",0.3158,".33-1.19 million","single family detached",806,2422,65,628,348.2,780,0
2230925,"male","$70K+","Northeast","white","Husband and wife only",0.7162,"125-329 thousand","single family detached",879,3639,84,2374,1096,274,0
2230994,"female","$50K-$69,999","Northeast","white","other household",0.6075,"4 million+","single family detached",1820,2793,650,20632,3215.2,395,0
2231164,"female","$30K-$39,999","South","white","H/W, own children only, oldest child under 6 years old",0.4468,"4 million+","duplex",1950,2694,948,600,300,50,0
2231365,"female","$70K+","South","black","Husband and wife only",NA,"125-329 thousand","single family detached",1300,9566,551,1378,130,395,0
2231455,"female","$40K-$49,999","Northeast","white","Husband and wife only",0.5455,"4 million+","apartment or flat",2210,2473,40,0,30,219,0
2231545,"male","$70K+","South","black","H/W, own children only, oldest child 6-17 years old",0.4317,"1.2-4 million","end row or end townhouse",1820,2987,251,902,0,664,0
2231734,"male","$50K-$69,999","Midwest","white","Husband and wife only",0.6126,"1.2-4 million","single family detached",3114,3367,625,2533,5056.4,162,0
2231825,"male","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.9864,"4 million+","single family detached",2629,15363,780,378,1650,807,0
2232094,"female","$15K-$19,999","Midwest","black","single person",NA,"1.2-4 million","single family detached",364,5268,0,361,900.2,57,0
2232294,"female","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.9882,"4 million+","single family detached",4420,5892,1478,3750,1325,2698,0
2232365,"female","$70K+","Midwest","white","H/W, own children only, oldest child 6-17 years old",NA,"4 million+","single family detached",4217,10575,450,1577,750,710,0
2232514,"male","$70K+","Midwest","white","other household",0.7609,"less than 125 thousand","single family detached",2525,3483.75,477,1350,90,2284,0
2232575,"male","$50K-$69,999","Midwest","white","single person",0.6482,"1.2-4 million","single family detached",2925,6173,129,838,390,3105,0
2232714,"female","$40K-$49,999","Midwest","black","one parent, female, at least one child under 18 years old",0.5056,"1.2-4 million","single family detached",2925,3088.5,1932,1304,375,598,0
2232915,"female","$15K-$19,999","Northeast","white","single person",NA,"4 million+","single family detached",1170,2561.75,300,0,727.2,225,0
2233194,"male","$50K-$69,999","South","black","single person",0.6871,"1.2-4 million","single family detached",416,3278,45,441,1210.2,219,0
2233195,"male","$70K+","South","black","single person",0.7846,"1.2-4 million","single family detached",1031,6275,0,820,1180.2,312,0
2233435,"male","$20K-$29,999","Midwest","white","H/W, own children only, oldest child 6-17 years old",0.3382,"4 million+","single family detached",1582,6279,285,1061,0,530,60
2233575,"male","$70K+","Midwest","white","Husband and wife only",0.6105,"less than 125 thousand","single family detached",455,3053,100,1100,1598.4,290,0
2233655,"female","$20K-$29,999","Midwest","white","single person",0.1348,"1.2-4 million","apartment or flat",715,1290,0,135,1112.2,30,0
2233844,"female","$30K-$39,999","Northeast","black","one parent, female, at least one child under 18 years old",NA,"4 million+","apartment or flat",1433,4456,1023,410,1054,615,0
2234045,"male","$40K-$49,999",NA,"white","single person",0.4964,NA,"single family detached",1105,2691,30,1006,904,531,0
2234074,"female","$70K+","West","asian","other household",0.5822,"4 million+","single family detached",3900,2184,400,2620,90,120,0
2234285,"female","$70K+","West","white","Husband and wife only",0.9259,"125-329 thousand","single family detached",1375,3805.25,0,1013,1495,290,0
2234375,"female","$70K+","West","white","other household",0.7147,"4 million+","single family detached",1830,3104,190,810,418,487,0
2234644,"female","$40K-$49,999","Northeast","white","single person",NA,"4 million+","single family detached",1770,3898,444,2214,834.2,367,30
2234755,"male","<$5K","West","white","single person",3e-04,"125-329 thousand","single family detached",1639,4471,550,1559,2900,254,0
2234814,"male","$70K+","Northeast","white","other household",NA,"125-329 thousand","single family detached",910,1760,1363,13736,1378,226,250
2235035,"male","$20K-$29,999","Midwest","white","H/W, own children only, oldest child 6-17 years old",0.2967,"less than 125 thousand","single family detached",1495,1792.5,0,350,606,1544,600
2235065,"male","$70K+","Midwest","white","Husband and wife only",0.7288,"less than 125 thousand","single family detached",1820,2044,340,1658,700,201,0
2235264,"female","$50K-$69,999","South","black","H/W, own children only, oldest child over 17 years old",0.3949,"4 million+","single family detached",794,4731,0,610,330,121,0
2235345,"male","$50K-$69,999","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.6635,"4 million+","single family detached",1730,4633,214,1286,20,134,45
2235515,"female","$5K-$9,999","West","white","H/W, own children only, oldest child under 6 years old",NA,"4 million+","apartment or flat",1300,2776,164,300,350,465,0
2235745,"male","$70K+","South","asian","H/W, own children only, oldest child 6-17 years old",0.9058,"4 million+","single family detached",3685,8781,1160,3384,1250,1095,750
2235785,"female","$30K-$39,999","Midwest","white","single person",0.413,"less than 125 thousand","duplex",1300,2543.5,0,606,465,601,0
2236055,"male","$15K-$19,999","Midwest","white","H/W, own children only, oldest child 6-17 years old",0.2384,"4 million+","single family detached",2080,4289,200,1245,120,276,0
2236175,"male","$20K-$29,999","South","white","single person",NA,"125-329 thousand","apartment or flat",845,3168,0,770,312,507,0
2236185,"male","$40K-$49,999","South","white","single person",0.4676,"1.2-4 million","row or townhouse inner unit",2860,2506.5,0,989,5,195,0
