"name","STCOU","population","violent.crimes","births","deaths","infant.deaths"
"Autauga, AL",1001,49834,116,719,406,6
"Baldwin, AL",1003,172815,502,2281,1682,11
"Barbour, AL",1005,29736,13,417,248,6
"Bibb, AL",1007,21485,36,279,203,3
"Blount, AL",1009,56866,24,720,542,7
"Bullock, AL",1011,10966,31,191,130,2
"Butler, AL",1013,20243,54,292,248,4
"Calhoun, AL",1015,112808,653,1563,1316,11
"Chambers, AL",1017,34731,67,426,471,5
"Cherokee, AL",1019,24474,20,249,290,3
"Chilton, AL",1021,42362,353,611,408,5
"Choctaw, AL",1023,14178,5,166,162,0
"Clarke, AL",1025,26416,37,312,283,3
"Clay, AL",1027,13772,56,148,177,2
"Cleburne, AL",1029,14692,25,199,158,0
"Coffee, AL",1031,46806,133,700,468,9
"Colbert, AL",1033,54606,222,654,639,8
"Conecuh, AL",1035,13118,14,175,149,0
"Coosa, AL",1037,10783,28,105,133,1
"Covington, AL",1039,36804,81,436,522,7
"Crenshaw, AL",1041,13741,28,172,190,3
"Cullman, AL",1043,80602,141,1121,863,11
"Dale, AL",1045,48263,204,786,433,7
"Dallas, AL",1047,42780,314,734,536,3
"DeKalb, AL",1049,68275,183,1061,695,6
"Elmore, AL",1051,77459,27,1063,640,9
"Escambia, AL",1053,37623,213,463,387,5
"Etowah, AL",1055,103216,209,1251,1341,13
"Fayette, AL",1057,17538,20,191,220,3
"Franklin, AL",1059,30627,25,466,420,4
"Geneva, AL",1061,25717,64,337,298,5
"Greene, AL",1063,9100,27,135,110,0
"Hale, AL",1065,18091,105,228,186,1
"Henry, AL",1067,16653,54,204,215,0
"Houston, AL",1069,97392,427,1355,898,13
"Jackson, AL",1071,52796,131,599,647,3
"Jefferson, AL",1073,661477,5009,9705,6902,121
"Lamar, AL",1075,14484,4,181,193,1
"Lauderdale, AL",1077,88522,130,1005,1010,9
"Lawrence, AL",1079,34151,39,407,371,1
"Lee, AL",1081,130791,492,1745,828,13
"Limestone, AL",1083,73909,24,981,653,10
"Lowndes, AL",1085,12664,38,168,122,0
"Macon, AL",1087,22258,168,260,301,6
"Madison, AL",1089,313796,1602,4236,2516,28
"Marengo, AL",1091,21265,121,290,233,2
"Marion, AL",1093,29501,29,384,375,6
"Marshall, AL",1095,87970,99,1487,991,14
"Mobile, AL",1097,405234,1764,6270,4094,65
"Monroe, AL",1099,22759,119,318,249,0
"Montgomery, AL",1101,225648,1236,3434,2026,45
"Morgan, AL",1103,115148,297,1640,1123,17
"Perry, AL",1105,10726,76,167,123,2
"Pickens, AL",1107,19503,41,226,249,3
"Pike, AL",1109,30186,30,432,296,2
"Randolph, AL",1111,22389,0,278,283,2
"Russell, AL",1113,50227,126,715,572,6
"St. Clair, AL",1115,78515,102,1116,713,12
"Shelby, AL",1117,183478,229,2698,1078,17
"Sumter, AL",1119,13269,26,178,158,0
"Talladega, AL",1121,80186,171,1097,934,21
"Tallapoosa, AL",1123,40797,207,542,486,4
"Tuscaloosa, AL",1125,178998,973,2528,1578,41
"Walker, AL",1127,68655,130,856,911,8
"Washington, AL",1129,17124,40,199,173,1
"Wilcox, AL",1131,12580,4,170,165,1
"Winston, AL",1133,24326,73,282,276,4
"Apache, AZ",4001,69278,17,1266,526,6
"Cochise, AZ",4003,127736,745,1865,1104,16
"Coconino, AZ",4005,127451,539,2137,636,14
"Gila, AZ",4007,52231,226,694,671,11
"Graham, AZ",4009,34736,183,584,283,7
"Greenlee, AZ",4011,7760,11,137,64,0
"Maricopa, AZ",4013,3872962,19224,66001,24769,425
"Mohave, AZ",4015,195852,563,2498,2460,19
"Navajo, AZ",4017,110999,389,2023,899,23
"Pima, AZ",4019,996593,5021,13819,7975,101
"Pinal, AZ",4021,302633,989,5290,2050,39
"Santa Cruz, AZ",4023,42692,83,767,265,5
"Yavapai, AZ",4025,212004,806,2416,2371,19
"Yuma, AZ",4027,189181,748,3255,1240,25
"Arkansas, AR",5001,19315,84,249,244,0
"Ashley, AR",5003,22258,48,324,280,3
"Baxter, AR",5005,41845,45,393,689,2
"Benton, AR",5007,210963,397,3370,1406,21
"Boone, AR",5009,36653,112,497,383,3
"Bradley, AR",5011,11964,48,183,151,1
"Calhoun, AR",5013,5473,6,66,59,1
"Carroll, AR",5015,27278,69,348,265,4
"Chicot, AR",5017,12308,73,187,160,3
"Clark, AR",5019,23684,76,307,233,4
"Clay, AR",5021,16068,28,145,237,1
"Cleburne, AR",5023,25282,68,238,344,1
"Cleveland, AR",5025,8735,4,114,90,0
"Columbia, AR",5027,24308,106,315,279,1
"Conway, AR",5029,20678,36,282,251,2
"Craighead, AR",5031,91383,363,1417,828,20
"Crawford, AR",5033,59035,66,844,509,2
"Crittenden, AR",5035,52123,739,912,485,11
"Cross, AR",5037,18627,77,246,210,1
"Dallas, AR",5039,8191,21,110,129,3
"Desha, AR",5041,13715,34,204,158,2
"Drew, AR",5043,18693,105,263,203,4
"Faulkner, AR",5045,104658,240,1481,740,13
"Franklin, AR",5047,18098,35,245,206,2
"Fulton, AR",5049,11793,12,118,180,1
"Garland, AR",5051,96499,538,1168,1242,5
"Grant, AR",5053,17506,42,217,176,1
"Greene, AR",5055,40302,134,548,400,4
"Hempstead, AR",5057,23212,122,360,267,3
"Hot Spring, AR",5059,31859,17,450,349,1
"Howard, AR",5061,14106,32,225,169,2
"Independence, AR",5063,34516,101,492,378,4
"Izard, AR",5065,13031,15,125,200,0
"Jackson, AR",5067,17039,82,204,219,1
"Jefferson, AR",5069,79413,982,1143,834,10
"Johnson, AR",5071,24778,40,373,241,2
"Lafayette, AR",5073,7716,8,105,104,0
"Lawrence, AR",5075,16867,37,181,217,1
"Lee, AR",5077,10702,34,130,129,1
"Lincoln, AR",5079,13695,22,141,123,0
"Little River, AR",5081,12887,22,172,158,1
"Logan, AR",5083,22671,46,305,264,1
"Lonoke, AR",5085,63581,279,973,494,5
"Madison, AR",5087,15538,30,225,152,3
"Marion, AR",5089,16609,43,131,210,1
"Miller, AR",5091,42901,494,687,414,6
"Mississippi, AR",5093,46610,377,793,532,2
"Monroe, AR",5095,8568,12,102,134,1
"Montgomery, AR",5097,9068,55,102,107,1
"Nevada, AR",5099,9331,69,125,124,0
"Newton, AR",5101,8313,0,93,95,0
"Ouachita, AR",5103,26023,117,358,383,2
"Perry, AR",5105,10362,14,131,115,2
"Phillips, AR",5107,21915,174,389,296,6
"Pike, AR",5109,10828,7,114,126,1
"Poinsett, AR",5111,24881,114,381,348,3
"Polk, AR",5113,20137,38,258,268,3
"Pope, AR",5115,59194,161,867,517,7
"Prairie, AR",5117,8814,21,106,104,2
"Pulaski, AR",5119,374992,4630,6016,3306,59
"Randolph, AR",5121,18040,10,222,189,3
"St. Francis, AR",5123,26788,144,370,287,1
"Saline, AR",5125,95391,269,1172,834,11
"Scott, AR",5127,11294,56,146,130,2
"Searcy, AR",5129,8054,1,97,100,0
